,Title,Published_date,Views,Likes,Comments,Month
0,Natural Language Processing|Tokenization,2019-01-01,194704,2967,71,Jan
1,Population vs Sample in Statistics,2018-12-31,196146,2182,78,Dec
2,How to select the best model using cross validation in python,2018-09-04,68385,1580,79,Sep
3,Computer Vision using Microsoft Cognitive Services for Images,2018-07-25,19176,208,9,Jul
4,Principle Component Analysis (PCA) using sklearn and python,2018-07-02,219572,3763,157,Jul
5,PySpark Tutorial for Beginners | Apache Spark with Python -Linear Regression Algorithm,2018-06-06,42002,636,42,Jun
6,Creating a Dataset and training an Artificial Neural Network with Keras,2018-02-25,27305,264,34,Feb
7,Artificial Neural Network Intuition,2018-02-24,41190,274,7,Feb
8,Create an Artifical Neural Network using Keras in 5 minutes,2018-02-22,10034,103,19,Feb
9,Important libraries used in python Data Science- Machine Learning Tutorial with Python and R-Part 4,2017-11-26,22786,198,15,Nov
10,Anaconda installation with Packages- Machine Learning Tutorial with Python and R-Part 3,2017-11-26,79616,369,39,Nov
11,What is Supervised Machine Learning- Machine Learning Tutorial with Python and R-Part 2,2017-11-26,38810,427,16,Nov
12,What is Machine Learning in Data Science- Machine Learning Tutorial with Python and R-Part 1,2017-11-25,160344,983,51,Nov
13,Maeri unplugged by Krish and band,2014-06-01,6347,160,16,Jun
